"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(FTM)","Value_OUT(FTM)","CurrentValue @ $0.9838/FTM","TxnFee(FTM)","TxnFee(USD)","Historical $Price/FTM","Status","ErrCode","Method"
"0x113779fff86f4b8645de612a3c4d57080ca2fd8c0bb3ab0890f1b6e1e8c3b8f7","37117465","1651117449","2022-04-28 03:44:09","0x701428525cbac59dae7af833f19d9c3aaa2a37cb","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.3713385682935","0.365322883487145","","","","Redeem Fractional DEI",""
"0x371730f46086b8cccd942133e9c44dc66dcb86605b8bc78d993a58a3d34a3d19","37117503","1651117552","2022-04-28 03:45:52","0x701428525cbac59dae7af833f19d9c3aaa2a37cb","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.1104320858875","0.108643086096122","","","","Collect Collateral",""
"0x5016ee31d792fe34ac0ed941812817ebb411bdeb754e89e774fdd8cfca067240","37118006","1651118544","2022-04-28 04:02:24","0x8fe0e1205811d5a7e80ee9dc65ae75cafd71ac8d","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.147126879","0.1447434235602","","","","Redeem Fractional DEI",""
"0x98df5ba78f1513c1469ccbaded4b577801fbca6e2d9ea9d3e8088a2d37937a31","37118043","1651118608","2022-04-28 04:03:28","0x8fe0e1205811d5a7e80ee9dc65ae75cafd71ac8d","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.032220225","0.031698257355","","","","Collect Collateral",""
"0xbaa85dbb89cb106d561c1e594a83aebcf08dc574c66ee382603a9dc717f2b0c4","37118070","1651118667","2022-04-28 04:04:27","0xbf68f1ce39ed3bd9b20944260aa678bb934d164b","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.1082278509165","0.106474559731653","","","","Redeem Fractional DEI",""
"0x0c146903041a3484216200d681006d1d966c45cabd14f4fccf1dd025f61ea8ee","37118138","1651118762","2022-04-28 04:06:02","0xbf68f1ce39ed3bd9b20944260aa678bb934d164b","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.030756429205","0.030258175051879","","","","Collect Collateral",""
"0x8ac19a62744026a02f7d5f7dbbcc7bc6490ea545d6d5e6068fb5ef98a5923bf8","37118276","1651119037","2022-04-28 04:10:37","0x5737b080b14d79d21957bab6da630acfbd03011a","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.0836280794496","0.0822733045625165","","","","Redeem Fractional DEI",""
"0xfcef709f31fab21e794b4fe0d0a9d0a88af4dbb6cfe82fbe0aba214c1030fb9a","37118305","1651119084","2022-04-28 04:11:24","0x11e765721e8f1b13224a73b0361796e32e32bad8","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.1077319374558","0.105986680069016","","","","Redeem Fractional DEI",""
"0xa9b7d4cbdf1bbb5c3f4aff3b3ee08cd563b31bdbd5f4c459f3d7d0b0e528c00b","37118347","1651119137","2022-04-28 04:12:17","0x0a70589d299fab2b12cca68bf499057bd3ddcae5","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.236187","0.2323607706","","","","Redeem Fractional DEI",""
"0xff48bf5340cf8b4b82e336da207a467f6cde4bbc6b71b16ee4f77a12fc7f2db3","37118387","1651119180","2022-04-28 04:13:00","0x0a70589d299fab2b12cca68bf499057bd3ddcae5","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.04083474766","0.040173224747908","","","","Collect Collateral",""
"0xc88c05d10a0230785d4ee9e6bf51f21aca38c488c5d07cea0f7d7d7cda273226","37118461","1651119281","2022-04-28 04:14:41","0x1cbea1fc4de249ba78b294043bac7e2cb10998ee","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.1255633935584","0.123529266582754","","","","Redeem Fractional DEI",""
